"FederalElectoralDivison","Participation","X18.19.years","X20.24.years","X25.29.years","X30.34.years","X35.39.years","X40.44.years","X45.49.years","X50.54.years","X55.59.years","X60.64.years","X65.69.years","X70.74.years","X75.79.years","X80.84.years","X85.years.and.over","Total.Males.b.","Total.Persons"
"Parramatta","Eligible participants"," 1,304 "," 4,101 "," 4,440 "," 5,893 "," 5,912 "," 5,003 "," 4,430 "," 4,177 "," 4,065 "," 3,411 "," 2,747 "," 2,128 "," 1,521 "," 1,082 "," 924 "," 51,138 "," 102,291 "
"Parramatta","Participation rate (%)"," 76.5 "," 71.0 "," 67.3 "," 63.7 "," 63.0 "," 68.3 "," 72.1 "," 75.2 "," 78.1 "," 81.8 "," 83.5 "," 87.4 "," 88.3 "," 86.1 "," 80.4 "," 72.9 "," 74.8 "
"Paterson","Total participants"," 1,166 "," 3,026 "," 3,141 "," 3,200 "," 3,100 "," 3,285 "," 3,566 "," 3,579 "," 3,864 "," 3,894 "," 3,908 "," 3,568 "," 2,308 "," 1,349 "," 925 "," 43,879 "," 93,253 "
"Paterson","Eligible participants"," 1,628 "," 4,568 "," 4,748 "," 4,694 "," 4,547 "," 4,692 "," 4,808 "," 4,593 "," 4,748 "," 4,517 "," 4,387 "," 3,910 "," 2,523 "," 1,502 "," 1,105 "," 56,970 "," 117,517 "
"Paterson","Participation rate (%)"," 71.6 "," 66.2 "," 66.2 "," 68.2 "," 68.2 "," 70.0 "," 74.2 "," 77.9 "," 81.4 "," 86.2 "," 89.1 "," 91.3 "," 91.5 "," 89.8 "," 83.7 "," 77.0 "," 79.4 "
"Reid","Total participants"," 950 "," 2,782 "," 3,256 "," 3,685 "," 3,497 "," 3,348 "," 3,382 "," 3,324 "," 3,394 "," 2,904 "," 2,631 "," 2,097 "," 1,528 "," 1,077 "," 990 "," 38,845 "," 82,831 "
"Reid","Eligible participants"," 1,216 "," 3,972 "," 4,788 "," 5,546 "," 5,133 "," 4,629 "," 4,467 "," 4,257 "," 4,208 "," 3,551 "," 3,045 "," 2,377 "," 1,741 "," 1,261 "," 1,205 "," 51,396 "," 106,617 "
"Reid","Participation rate (%)"," 78.1 "," 70.0 "," 68.0 "," 66.4 "," 68.1 "," 72.3 "," 75.7 "," 78.1 "," 80.7 "," 81.8 "," 86.4 "," 88.2 "," 87.8 "," 85.4 "," 82.2 "," 75.6 "," 77.7 "
"Richmond","Total participants"," 919 "," 2,125 "," 2,034 "," 2,263 "," 2,466 "," 2,847 "," 3,315 "," 3,468 "," 4,188 "," 4,385 "," 4,558 "," 3,684 "," 2,540 "," 1,752 "," 1,631 "," 42,175 "," 92,490 "
"Richmond","Eligible participants"," 1,303 "," 3,184 "," 3,019 "," 3,334 "," 3,627 "," 4,090 "," 4,520 "," 4,560 "," 5,278 "," 5,269 "," 5,232 "," 4,114 "," 2,837 "," 1,989 "," 1,935 "," 54,291 "," 115,209 "
"Richmond","Participation rate (%)"," 70.5 "," 66.7 "," 67.4 "," 67.9 "," 68.0 "," 69.6 "," 73.3 "," 76.1 "," 79.3 "," 83.2 "," 87.1 "," 89.5 "," 89.5 "," 88.1 "," 84.3 "," 77.7 "," 80.3 "
"Riverina","Total participants"," 1,009 "," 2,764 "," 2,602 "," 2,508 "," 2,502 "," 2,789 "," 3,128 "," 3,463 "," 4,058 "," 3,974 "," 3,895 "," 3,299 "," 2,355 "," 1,507 "," 1,242 "," 41,095 "," 86,906 "
"Riverina","Eligible participants"," 1,524 "," 4,569 "," 4,241 "," 3,936 "," 3,906 "," 4,026 "," 4,407 "," 4,561 "," 4,989 "," 4,677 "," 4,484 "," 3,653 "," 2,592 "," 1,714 "," 1,488 "," 54,767 "," 112,538 "
"Riverina","Participation rate (%)"," 66.2 "," 60.5 "," 61.4 "," 63.7 "," 64.1 "," 69.3 "," 71.0 "," 75.9 "," 81.3 "," 85.0 "," 86.9 "," 90.3 "," 90.9 "," 87.9 "," 83.5 "," 75.0 "," 77.2 "
"Robertson","Total participants"," 1,036 "," 2,945 "," 2,617 "," 2,613 "," 2,656 "," 2,918 "," 3,241 "," 3,462 "," 3,807 "," 3,692 "," 3,561 "," 3,351 "," 2,344 "," 1,498 "," 1,456 "," 41,197 "," 89,534 "
"Robertson","Eligible participants"," 1,410 "," 4,162 "," 3,832 "," 3,708 "," 3,658 "," 4,047 "," 4,372 "," 4,383 "," 4,585 "," 4,306 "," 4,044 "," 3,699 "," 2,576 "," 1,675 "," 1,738 "," 52,195 "," 109,965 "
"Robertson","Participation rate (%)"," 73.5 "," 70.8 "," 68.3 "," 70.5 "," 72.6 "," 72.1 "," 74.1 "," 79.0 "," 83.0 "," 85.7 "," 88.1 "," 90.6 "," 91.0 "," 89.4 "," 83.8 "," 78.9 "," 81.4 "
"Shortland","Total participants"," 1,201 "," 3,228 "," 2,718 "," 2,901 "," 2,852 "," 3,016 "," 3,541 "," 3,460 "," 3,985 "," 3,876 "," 3,662 "," 3,428 "," 2,441 "," 1,646 "," 1,240 "," 43,195 "," 92,546 "
"Shortland","Eligible participants"," 1,552 "," 4,418 "," 3,835 "," 4,031 "," 3,924 "," 4,121 "," 4,628 "," 4,402 "," 4,786 "," 4,426 "," 4,045 "," 3,777 "," 2,643 "," 1,830 "," 1,461 "," 53,879 "," 112,221 "
"Shortland","Participation rate (%)"," 77.4 "," 73.1 "," 70.9 "," 72.0 "," 72.7 "," 73.2 "," 76.5 "," 78.6 "," 83.3 "," 87.6 "," 90.5 "," 90.8 "," 92.4 "," 89.9 "," 84.9 "," 80.2 "," 82.5 "
"Sydney","Total participants"," 437 "," 2,624 "," 6,472 "," 7,200 "," 6,093 "," 4,787 "," 4,430 "," 3,734 "," 3,260 "," 2,671 "," 2,235 "," 1,615 "," 983 "," 648 "," 419 "," 47,608 "," 91,150 "
"Sydney","Eligible participants"," 575 "," 3,532 "," 8,100 "," 9,327 "," 8,044 "," 6,165 "," 5,465 "," 4,548 "," 3,948 "," 3,205 "," 2,635 "," 1,906 "," 1,185 "," 811 "," 614 "," 60,060 "," 113,243 "
"Sydney","Participation rate (%)"," 76.0 "," 74.3 "," 79.9 "," 77.2 "," 75.7 "," 77.6 "," 81.1 "," 82.1 "," 82.6 "," 83.3 "," 84.8 "," 84.7 "," 83.0 "," 79.9 "," 68.2 "," 79.3 "," 80.5 "
"Warringah","Total participants"," 1,057 "," 2,681 "," 2,712 "," 3,050 "," 3,648 "," 3,920 "," 4,071 "," 3,782 "," 3,504 "," 2,977 "," 2,674 "," 2,414 "," 1,619 "," 1,079 "," 1,054 "," 40,242 "," 86,831 "
"Warringah","Eligible participants"," 1,276 "," 3,382 "," 3,567 "," 4,035 "," 4,723 "," 5,110 "," 5,130 "," 4,535 "," 4,134 "," 3,427 "," 2,998 "," 2,644 "," 1,778 "," 1,199 "," 1,226 "," 49,164 "," 103,461 "
"Warringah","Participation rate (%)"," 82.8 "," 79.3 "," 76.0 "," 75.6 "," 77.2 "," 76.7 "," 79.4 "," 83.4 "," 84.8 "," 86.9 "," 89.2 "," 91.3 "," 91.1 "," 90.0 "," 86.0 "," 81.9 "," 83.9 "
"Watson","Total participants"," 1,156 "," 3,420 "," 3,025 "," 3,397 "," 3,505 "," 3,382 "," 3,369 "," 3,714 "," 3,354 "," 2,918 "," 2,525 "," 2,131 "," 1,669 "," 1,163 "," 927 "," 39,655 "," 82,280 "
"Watson","Eligible participants"," 1,525 "," 4,728 "," 4,334 "," 4,904 "," 5,015 "," 4,612 "," 4,538 "," 4,785 "," 4,368 "," 3,656 "," 3,084 "," 2,522 "," 1,961 "," 1,383 "," 1,213 "," 52,628 "," 106,914 "
"Watson","Participation rate (%)"," 75.8 "," 72.3 "," 69.8 "," 69.3 "," 69.9 "," 73.3 "," 74.2 "," 77.6 "," 76.8 "," 79.8 "," 81.9 "," 84.5 "," 85.1 "," 84.1 "," 76.4 "," 75.3 "," 77.0 "
"Wentworth","Total participants"," 826 "," 2,285 "," 3,421 "," 4,215 "," 4,339 "," 3,881 "," 3,735 "," 3,242 "," 3,060 "," 2,618 "," 2,610 "," 2,155 "," 1,427 "," 938 "," 1,023 "," 39,775 "," 85,851 "
"Wentworth","Eligible participants"," 991 "," 2,927 "," 4,388 "," 5,512 "," 5,692 "," 5,073 "," 4,734 "," 3,943 "," 3,628 "," 3,016 "," 2,993 "," 2,443 "," 1,626 "," 1,095 "," 1,284 "," 49,345 "," 103,972 "
"Wentworth","Participation rate (%)"," 83.4 "," 78.1 "," 78.0 "," 76.5 "," 76.2 "," 76.5 "," 78.9 "," 82.2 "," 84.3 "," 86.8 "," 87.2 "," 88.2 "," 87.8 "," 85.7 "," 79.7 "," 80.6 "," 82.6 "
"Werriwa","Total participants"," 1,455 "," 3,970 "," 3,364 "," 3,249 "," 3,387 "," 3,525 "," 3,807 "," 3,906 "," 3,719 "," 3,092 "," 2,514 "," 1,818 "," 1,189 "," 715 "," 460 "," 40,170 "," 83,695 "
"Werriwa","Eligible participants"," 1,993 "," 5,758 "," 4,989 "," 4,953 "," 5,180 "," 4,996 "," 5,205 "," 5,234 "," 4,815 "," 3,815 "," 3,008 "," 2,130 "," 1,408 "," 875 "," 593 "," 54,952 "," 112,977 "
"Werriwa","Participation rate (%)"," 73.0 "," 68.9 "," 67.4 "," 65.6 "," 65.4 "," 70.6 "," 73.1 "," 74.6 "," 77.2 "," 81.0 "," 83.6 "," 85.4 "," 84.4 "," 81.7 "," 77.6 "," 73.1 "," 74.1 "
"Whitlam","Total participants"," 1,212 "," 3,148 "," 2,816 "," 2,951 "," 2,934 "," 3,136 "," 3,542 "," 3,657 "," 3,928 "," 3,672 "," 3,771 "," 3,392 "," 2,431 "," 1,596 "," 1,139 "," 43,325 "," 92,717 "
"Whitlam","Eligible participants"," 1,667 "," 4,552 "," 4,144 "," 4,235 "," 4,169 "," 4,437 "," 4,701 "," 4,665 "," 4,802 "," 4,249 "," 4,249 "," 3,782 "," 2,693 "," 1,777 "," 1,350 "," 55,472 "," 115,781 "
"Whitlam","Participation rate (%)"," 72.7 "," 69.2 "," 68.0 "," 69.7 "," 70.4 "," 70.7 "," 75.3 "," 78.4 "," 81.8 "," 86.4 "," 88.8 "," 89.7 "," 90.3 "," 89.8 "," 84.4 "," 78.1 "," 80.1 "
"New South Wales (Total)","Total participants"," 52,118 "," 143,088 "," 141,349 "," 146,259 "," 149,283 "," 155,857 "," 167,357 "," 167,745 "," 177,169 "," 165,382 "," 155,743 "," 130,540 "," 89,406 "," 58,246 "," 48,003 "," 1,947,546 "," 4,122,236 "
"New South Wales (Total)","Eligible participants"," 69,996 "," 204,979 "," 204,397 "," 210,612 "," 212,888 "," 214,989 "," 221,908 "," 213,740 "," 217,769 "," 195,444 "," 177,828 "," 145,915 "," 99,697 "," 66,137 "," 57,894 "," 2,514,194 "," 5,187,681 "
"New South Wales (Total)","Participation rate (%)"," 74.5 "," 69.8 "," 69.2 "," 69.4 "," 70.1 "," 72.5 "," 75.4 "," 78.5 "," 81.4 "," 84.6 "," 87.6 "," 89.5 "," 89.7 "," 88.1 "," 82.9 "," 77.5 "," 79.5 "
"Aston","Total participants"," 1,072 "," 3,225 "," 2,864 "," 2,760 "," 2,776 "," 2,818 "," 3,114 "," 3,266 "," 3,533 "," 3,202 "," 2,821 "," 2,088 "," 1,486 "," 867 "," 669 "," 36,561 "," 78,419 "
"Aston","Eligible participants"," 1,362 "," 4,405 "," 3,975 "," 3,798 "," 3,804 "," 3,742 "," 4,014 "," 4,084 "," 4,272 "," 3,714 "," 3,200 "," 2,347 "," 1,653 "," 992 "," 821 "," 46,183 "," 96,083 "
"Aston","Participation rate (%)"," 78.7 "," 73.2 "," 72.1 "," 72.7 "," 73.0 "," 75.3 "," 77.6 "," 80.0 "," 82.7 "," 86.2 "," 88.2 "," 89.0 "," 89.9 "," 87.4 "," 81.5 "," 79.2 "," 81.6 "
"Ballarat","Total participants"," 1,139 "," 3,198 "," 3,133 "," 3,097 "," 3,052 "," 3,387 "," 3,737 "," 3,699 "," 4,016 "," 3,915 "," 3,790 "," 2,921 "," 1,954 "," 1,237 "," 912 "," 43,187 "," 93,351 "
"Ballarat","Eligible participants"," 1,446 "," 4,720 "," 4,543 "," 4,270 "," 4,193 "," 4,437 "," 4,808 "," 4,586 "," 4,799 "," 4,473 "," 4,252 "," 3,243 "," 2,164 "," 1,382 "," 1,095 "," 54,411 "," 114,274 "
"Ballarat","Participation rate (%)"," 78.8 "," 67.8 "," 69.0 "," 72.5 "," 72.8 "," 76.3 "," 77.7 "," 80.7 "," 83.7 "," 87.5 "," 89.1 "," 90.1 "," 90.3 "," 89.5 "," 83.3 "," 79.4 "," 81.7 "
"Batman","Total participants"," 797 "," 3,125 "," 4,167 "," 4,608 "," 4,319 "," 4,153 "," 4,265 "," 3,457 "," 3,269 "," 2,748 "," 2,243 "," 1,888 "," 1,548 "," 1,238 "," 1,052 "," 42,877 "," 93,576 "
"Batman","Eligible participants"," 987 "," 3,982 "," 5,268 "," 5,783 "," 5,323 "," 5,154 "," 5,281 "," 4,238 "," 3,878 "," 3,242 "," 2,601 "," 2,177 "," 1,790 "," 1,492 "," 1,343 "," 52,539 "," 111,477 "
"Batman","Participation rate (%)"," 80.7 "," 78.5 "," 79.1 "," 79.7 "," 81.1 "," 80.6 "," 80.8 "," 81.6 "," 84.3 "," 84.8 "," 86.2 "," 86.7 "," 86.5 "," 83.0 "," 78.3 "," 81.6 "," 83.9 "
"Bendigo","Total participants"," 1,072 "," 2,946 "," 2,803 "," 2,827 "," 2,833 "," 3,131 "," 3,577 "," 3,661 "," 4,091 "," 4,018 "," 3,979 "," 3,216 "," 2,188 "," 1,425 "," 1,103 "," 42,870 "," 92,597 "
"Bendigo","Eligible participants"," 1,367 "," 4,278 "," 4,099 "," 3,929 "," 3,851 "," 4,129 "," 4,534 "," 4,454 "," 4,808 "," 4,598 "," 4,421 "," 3,546 "," 2,407 "," 1,576 "," 1,312 "," 53,309 "," 111,957 "
"Bendigo","Participation rate (%)"," 78.4 "," 68.9 "," 68.4 "," 72.0 "," 73.6 "," 75.8 "," 78.9 "," 82.2 "," 85.1 "," 87.4 "," 90.0 "," 90.7 "," 90.9 "," 90.4 "," 84.1 "," 80.4 "," 82.7 "
"Bruce","Total participants"," 892 "," 2,842 "," 2,587 "," 2,388 "," 2,509 "," 2,658 "," 2,963 "," 3,001 "," 3,031 "," 2,883 "," 2,725 "," 2,636 "," 2,192 "," 1,398 "," 1,064 "," 35,769 "," 74,104 "
"Bruce","Eligible participants"," 1,164 "," 4,037 "," 3,842 "," 3,771 "," 3,774 "," 3,789 "," 3,999 "," 3,870 "," 3,829 "," 3,508 "," 3,230 "," 3,031 "," 2,462 "," 1,624 "," 1,274 "," 47,204 "," 95,365 "
"Bruce","Participation rate (%)"," 76.6 "," 70.4 "," 67.3 "," 63.3 "," 66.5 "," 70.2 "," 74.1 "," 77.5 "," 79.2 "," 82.2 "," 84.4 "," 87.0 "," 89.0 "," 86.1 "," 83.5 "," 75.8 "," 77.7 "
"Calwell","Total participants"," 1,247 "," 4,081 "," 3,708 "," 3,349 "," 3,150 "," 3,220 "," 3,895 "," 4,163 "," 3,998 "," 3,462 "," 2,818 "," 2,361 "," 1,478 "," 858 "," 556 "," 42,345 "," 87,993 "
"Calwell","Eligible participants"," 1,609 "," 5,515 "," 5,150 "," 4,826 "," 4,444 "," 4,452 "," 5,086 "," 5,238 "," 4,868 "," 4,102 "," 3,275 "," 2,737 "," 1,730 "," 1,010 "," 694 "," 54,737 "," 111,581 "
"Calwell","Participation rate (%)"," 77.5 "," 74.0 "," 72.0 "," 69.4 "," 70.9 "," 72.3 "," 76.6 "," 79.5 "," 82.1 "," 84.4 "," 86.0 "," 86.3 "," 85.4 "," 85.0 "," 80.1 "," 77.4 "," 78.9 "
"Casey","Total participants"," 1,089 "," 3,273 "," 3,319 "," 3,267 "," 3,170 "," 3,273 "," 3,655 "," 3,593 "," 3,772 "," 3,509 "," 3,204 "," 2,714 "," 1,662 "," 986 "," 727 "," 41,213 "," 88,419 "
"Casey","Eligible participants"," 1,369 "," 4,298 "," 4,441 "," 4,303 "," 4,087 "," 4,238 "," 4,571 "," 4,317 "," 4,439 "," 4,034 "," 3,555 "," 2,985 "," 1,849 "," 1,093 "," 882 "," 50,461 "," 105,226 "
"Casey","Participation rate (%)"," 79.5 "," 76.2 "," 74.7 "," 75.9 "," 77.6 "," 77.2 "," 80.0 "," 83.2 "," 85.0 "," 87.0 "," 90.1 "," 90.9 "," 89.9 "," 90.2 "," 82.4 "," 81.7 "," 84.0 "
"Chisholm","Total participants"," 1,056 "," 3,242 "," 2,835 "," 2,788 "," 2,712 "," 2,990 "," 3,507 "," 3,311 "," 3,109 "," 2,667 "," 2,366 "," 2,057 "," 1,826 "," 1,541 "," 1,418 "," 37,425 "," 80,563 "
"Chisholm","Eligible participants"," 1,306 "," 4,232 "," 3,831 "," 3,878 "," 3,690 "," 3,856 "," 4,321 "," 4,030 "," 3,742 "," 3,099 "," 2,694 "," 2,320 "," 2,026 "," 1,762 "," 1,712 "," 46,499 "," 97,751 "
"Chisholm","Participation rate (%)"," 80.9 "," 76.6 "," 74.0 "," 71.9 "," 73.5 "," 77.5 "," 81.2 "," 82.2 "," 83.1 "," 86.1 "," 87.8 "," 88.7 "," 90.1 "," 87.5 "," 82.8 "," 80.5 "," 82.4 "
"Corangamite","Total participants"," 1,160 "," 3,246 "," 3,078 "," 3,307 "," 3,429 "," 3,778 "," 3,851 "," 3,623 "," 4,007 "," 4,195 "," 3,981 "," 3,193 "," 2,097 "," 1,369 "," 1,106 "," 45,420 "," 97,757 "
"Corangamite","Eligible participants"," 1,420 "," 4,338 "," 4,092 "," 4,252 "," 4,376 "," 4,739 "," 4,710 "," 4,309 "," 4,683 "," 4,783 "," 4,408 "," 3,484 "," 2,304 "," 1,529 "," 1,286 "," 54,713 "," 114,880 "
"Corangamite","Participation rate (%)"," 81.7 "," 74.8 "," 75.2 "," 77.8 "," 78.4 "," 79.7 "," 81.8 "," 84.1 "," 85.6 "," 87.7 "," 90.3 "," 91.6 "," 91.0 "," 89.5 "," 86.0 "," 83.0 "," 85.1 "
"Corio","Total participants"," 1,060 "," 3,208 "," 3,220 "," 3,015 "," 2,971 "," 3,125 "," 3,511 "," 3,620 "," 3,733 "," 3,781 "," 3,666 "," 3,003 "," 2,093 "," 1,377 "," 1,114 "," 42,497 "," 92,882 "
"Corio","Eligible participants"," 1,323 "," 4,387 "," 4,417 "," 4,066 "," 3,927 "," 4,093 "," 4,336 "," 4,401 "," 4,394 "," 4,269 "," 4,057 "," 3,324 "," 2,325 "," 1,589 "," 1,335 "," 52,243 "," 111,137 "
"Corio","Participation rate (%)"," 80.1 "," 73.1 "," 72.9 "," 74.2 "," 75.7 "," 76.3 "," 81.0 "," 82.3 "," 85.0 "," 88.6 "," 90.4 "," 90.3 "," 90.0 "," 86.7 "," 83.4 "," 81.3 "," 83.6 "
"Deakin","Total participants"," 983 "," 2,959 "," 2,758 "," 3,010 "," 3,295 "," 3,568 "," 3,605 "," 3,305 "," 3,187 "," 2,826 "," 2,621 "," 2,534 "," 1,809 "," 1,311 "," 1,182 "," 38,953 "," 84,713 "
"Deakin","Eligible participants"," 1,198 "," 3,775 "," 3,670 "," 3,950 "," 4,211 "," 4,452 "," 4,428 "," 3,963 "," 3,722 "," 3,240 "," 2,915 "," 2,765 "," 1,995 "," 1,475 "," 1,426 "," 47,185 "," 100,102 "
"Deakin","Participation rate (%)"," 82.1 "," 78.4 "," 75.1 "," 76.2 "," 78.2 "," 80.1 "," 81.4 "," 83.4 "," 85.6 "," 87.2 "," 89.9 "," 91.6 "," 90.7 "," 88.9 "," 82.9 "," 82.6 "," 84.6 "
"Dunkley","Total participants"," 985 "," 2,860 "," 2,841 "," 2,873 "," 2,903 "," 3,176 "," 3,557 "," 3,352 "," 3,452 "," 3,293 "," 3,147 "," 2,923 "," 2,072 "," 1,357 "," 1,109 "," 39,900 "," 87,596 "
"Dunkley","Eligible participants"," 1,257 "," 3,973 "," 4,044 "," 3,976 "," 3,924 "," 4,200 "," 4,555 "," 4,202 "," 4,221 "," 3,805 "," 3,575 "," 3,273 "," 2,299 "," 1,535 "," 1,316 "," 50,155 "," 106,918 "
"Dunkley","Participation rate (%)"," 78.4 "," 72.0 "," 70.3 "," 72.3 "," 74.0 "," 75.6 "," 78.1 "," 79.8 "," 81.8 "," 86.5 "," 88.0 "," 89.3 "," 90.1 "," 88.4 "," 84.3 "," 79.6 "," 81.9 "
"Flinders","Total participants"," 977 "," 2,761 "," 2,627 "," 2,513 "," 2,726 "," 3,097 "," 3,685 "," 3,615 "," 4,180 "," 4,333 "," 4,574 "," 4,153 "," 2,922 "," 1,788 "," 1,491 "," 45,442 "," 97,902 "
"Flinders","Eligible participants"," 1,290 "," 3,938 "," 3,756 "," 3,561 "," 3,709 "," 4,256 "," 4,796 "," 4,642 "," 5,081 "," 5,073 "," 5,186 "," 4,624 "," 3,251 "," 2,067 "," 1,781 "," 57,011 "," 119,309 "
"Flinders","Participation rate (%)"," 75.7 "," 70.1 "," 69.9 "," 70.6 "," 73.5 "," 72.8 "," 76.8 "," 77.9 "," 82.3 "," 85.4 "," 88.2 "," 89.8 "," 89.9 "," 86.5 "," 83.7 "," 79.7 "," 82.1 "
"Gellibrand","Total participants"," 887 "," 3,054 "," 3,599 "," 4,385 "," 4,501 "," 4,324 "," 4,106 "," 3,615 "," 3,690 "," 2,983 "," 2,538 "," 2,029 "," 1,489 "," 1,108 "," 977 "," 43,286 "," 91,388 "
"Gellibrand","Eligible participants"," 1,091 "," 3,988 "," 4,772 "," 5,715 "," 5,802 "," 5,419 "," 5,155 "," 4,518 "," 4,454 "," 3,581 "," 2,943 "," 2,333 "," 1,719 "," 1,320 "," 1,235 "," 54,046 "," 111,159 "
"Gellibrand","Participation rate (%)"," 81.3 "," 76.6 "," 75.4 "," 76.7 "," 77.6 "," 79.8 "," 79.7 "," 80.0 "," 82.8 "," 83.3 "," 86.2 "," 87.0 "," 86.6 "," 83.9 "," 79.1 "," 80.1 "," 82.2 "
"Gippsland","Total participants"," 844 "," 2,399 "," 2,292 "," 2,414 "," 2,340 "," 2,545 "," 2,920 "," 3,281 "," 3,990 "," 4,213 "," 4,517 "," 3,635 "," 2,504 "," 1,439 "," 1,113 "," 40,446 "," 85,444 "
"Gippsland","Eligible participants"," 1,130 "," 3,791 "," 3,569 "," 3,576 "," 3,353 "," 3,513 "," 3,902 "," 4,104 "," 4,802 "," 4,891 "," 5,038 "," 4,015 "," 2,734 "," 1,615 "," 1,302 "," 51,335 "," 105,814 "
"Gippsland","Participation rate (%)"," 74.7 "," 63.3 "," 64.2 "," 67.5 "," 69.8 "," 72.4 "," 74.8 "," 79.9 "," 83.1 "," 86.1 "," 89.7 "," 90.5 "," 91.6 "," 89.1 "," 85.5 "," 78.8 "," 80.7 "
"Goldstein","Total participants"," 1,222 "," 3,300 "," 2,647 "," 2,481 "," 2,712 "," 3,445 "," 4,273 "," 4,210 "," 4,043 "," 3,601 "," 3,119 "," 2,719 "," 1,733 "," 1,227 "," 1,308 "," 42,040 "," 91,627 "
"Goldstein","Eligible participants"," 1,448 "," 4,019 "," 3,292 "," 3,184 "," 3,424 "," 4,261 "," 5,153 "," 4,868 "," 4,659 "," 4,060 "," 3,526 "," 3,013 "," 1,896 "," 1,367 "," 1,608 "," 49,778 "," 106,484 "
"Goldstein","Participation rate (%)"," 84.4 "," 82.1 "," 80.4 "," 77.9 "," 79.2 "," 80.8 "," 82.9 "," 86.5 "," 86.8 "," 88.7 "," 88.5 "," 90.2 "," 91.4 "," 89.8 "," 81.3 "," 84.5 "," 86.0 "
"Gorton","Total participants"," 1,148 "," 3,683 "," 3,604 "," 4,282 "," 4,781 "," 4,815 "," 4,428 "," 3,749 "," 3,573 "," 3,334 "," 3,017 "," 2,068 "," 1,182 "," 586 "," 318 "," 44,568 "," 93,768 "
"Gorton","Eligible participants"," 1,531 "," 5,286 "," 5,272 "," 6,176 "," 6,722 "," 6,525 "," 5,801 "," 4,820 "," 4,425 "," 4,025 "," 3,528 "," 2,409 "," 1,359 "," 704 "," 415 "," 58,998 "," 121,247 "
"Gorton","Participation rate (%)"," 75.0 "," 69.7 "," 68.4 "," 69.3 "," 71.1 "," 73.8 "," 76.3 "," 77.8 "," 80.7 "," 82.8 "," 85.5 "," 85.8 "," 87.0 "," 83.2 "," 76.6 "," 75.5 "," 77.3 "
"Higgins","Total participants"," 973 "," 3,268 "," 4,369 "," 4,222 "," 3,566 "," 3,323 "," 3,736 "," 3,352 "," 3,317 "," 2,794 "," 2,633 "," 2,193 "," 1,652 "," 1,068 "," 997 "," 41,463 "," 89,614 "
"Higgins","Eligible participants"," 1,142 "," 4,033 "," 5,504 "," 5,490 "," 4,580 "," 4,167 "," 4,494 "," 4,006 "," 3,815 "," 3,175 "," 2,963 "," 2,451 "," 1,883 "," 1,228 "," 1,228 "," 50,159 "," 106,229 "
"Higgins","Participation rate (%)"," 85.2 "," 81.0 "," 79.4 "," 76.9 "," 77.9 "," 79.7 "," 83.1 "," 83.7 "," 86.9 "," 88.0 "," 88.9 "," 89.5 "," 87.7 "," 87.0 "," 81.2 "," 82.7 "," 84.4 "
"Holt","Total participants"," 1,296 "," 4,121 "," 3,821 "," 4,286 "," 4,565 "," 4,177 "," 4,172 "," 3,903 "," 3,978 "," 3,343 "," 2,750 "," 2,042 "," 1,300 "," 778 "," 511 "," 45,043 "," 93,311 "
"Holt","Eligible participants"," 1,679 "," 5,788 "," 5,696 "," 6,535 "," 6,611 "," 5,782 "," 5,502 "," 4,969 "," 4,877 "," 4,011 "," 3,224 "," 2,319 "," 1,487 "," 911 "," 665 "," 60,056 "," 121,571 "
"Holt","Participation rate (%)"," 77.2 "," 71.2 "," 67.1 "," 65.6 "," 69.1 "," 72.2 "," 75.8 "," 78.5 "," 81.6 "," 83.3 "," 85.3 "," 88.1 "," 87.4 "," 85.4 "," 76.8 "," 75.0 "," 76.8 "
"Hotham","Total participants"," 889 "," 2,953 "," 2,559 "," 2,778 "," 3,104 "," 3,279 "," 3,533 "," 3,338 "," 3,421 "," 2,909 "," 2,591 "," 2,297 "," 1,777 "," 1,318 "," 1,265 "," 38,011 "," 80,813 "
"Hotham","Eligible participants"," 1,131 "," 3,926 "," 3,554 "," 3,945 "," 4,296 "," 4,395 "," 4,632 "," 4,260 "," 4,156 "," 3,500 "," 3,004 "," 2,615 "," 2,053 "," 1,539 "," 1,576 "," 48,582 "," 100,545 "
"Hotham","Participation rate (%)"," 78.6 "," 75.2 "," 72.0 "," 70.4 "," 72.3 "," 74.6 "," 76.3 "," 78.4 "," 82.3 "," 83.1 "," 86.3 "," 87.8 "," 86.6 "," 85.6 "," 80.3 "," 78.2 "," 80.4 "
"Indi","Total participants"," 859 "," 2,443 "," 2,325 "," 2,405 "," 2,492 "," 2,764 "," 3,292 "," 3,527 "," 4,177 "," 4,349 "," 4,211 "," 3,436 "," 2,287 "," 1,359 "," 1,109 "," 41,035 "," 86,812 "
"Indi","Eligible participants"," 1,105 "," 3,644 "," 3,422 "," 3,399 "," 3,394 "," 3,698 "," 4,309 "," 4,419 "," 4,969 "," 5,006 "," 4,715 "," 3,817 "," 2,538 "," 1,549 "," 1,312 "," 51,296 "," 105,746 "
"Indi","Participation rate (%)"," 77.7 "," 67.0 "," 67.9 "," 70.8 "," 73.4 "," 74.7 "," 76.4 "," 79.8 "," 84.1 "," 86.9 "," 89.3 "," 90.0 "," 90.1 "," 87.7 "," 84.5 "," 80.0 "," 82.1 "
